PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,2.52,1.58,8.58,9.28,12.47,14.9,16.98,17.66,15.16,9.65,5.93,1.7,9.75
T2M,1981,2.52,1.58,8.58,9.28,12.47,14.9,16.98,17.66,15.16,9.65,5.93,1.7,9.75
T2M,1982,1.62,3.65,5.58,8.06,12.86,17.1,18.62,17.15,16.7,10.26,7.33,3.35,10.22
T2M,1983,4.69,0.69,6.15,8.11,11.0,16.85,20.9,18.24,14.71,10.52,5.39,2.82,10.07
T2M,1984,3.19,2.16,4.32,8.05,10.19,15.44,17.51,17.9,13.76,11.01,8.58,3.35,9.64
T2M,1985,-2.92,0.5,4.0,8.99,12.79,14.73,18.15,16.23,15.77,10.16,2.58,3.93,8.79
T2M,1986,2.5,-3.1,4.4,6.17,13.19,17.33,17.97,16.56,12.54,12.72,6.95,4.28,9.38
T2M,1987,-3.35,1.62,3.36,10.89,11.08,15.04,17.73,17.58,16.81,11.51,5.78,2.95,9.28
T2M,1988,5.69,3.96,6.12,9.75,14.05,16.0,16.9,17.92,14.63,11.65,4.62,5.65,10.61
T2M,1989,2.9,4.68,8.98,7.83,15.42,16.15,19.29,18.61,15.81,12.66,5.08,3.73,10.98
T2M,1990,4.11,7.87,8.11,8.71,15.6,16.17,19.79,21.52,15.15,12.97,6.3,2.31,11.58
T2M,1991,3.1,-0.0,8.89,9.0,11.95,15.34,20.47,21.07,17.94,10.68,5.65,1.54,10.54
T2M,1992,1.05,3.83,7.65,9.47,15.58,16.88,20.07,20.22,15.16,8.53,8.23,2.99,10.83
T2M,1993,4.94,1.98,6.27,11.1,14.58,17.4,17.58,17.35,13.74,8.82,2.36,5.0,10.15
T2M,1994,4.67,3.48,8.08,8.64,13.33,16.26,21.26,18.67,14.06,10.43,9.51,5.32,11.19
T2M,1995,4.05,6.9,5.55,9.27,13.07,15.32,20.76,19.88,13.92,13.58,6.15,1.31,10.84
T2M,1996,2.33,1.12,4.88,9.29,11.4,17.23,18.17,17.9,13.26,10.9,5.43,0.26,9.37
T2M,1997,-1.51,5.62,8.46,8.76,13.41,16.34,18.41,21.98,15.81,10.47,7.23,4.21,10.8
T2M,1998,3.44,4.27,7.51,8.8,15.19,17.01,17.63,19.01,15.45,10.78,3.51,3.6,10.56
T2M,1999,4.84,3.38,7.55,10.19,15.1,15.97,20.08,18.89,17.51,10.69,4.95,4.23,11.17
T2M,2000,2.4,5.53,6.97,9.4,14.8,16.98,16.41,18.73,15.87,10.98,7.07,5.7,10.91
T2M,2001,3.43,4.18,7.48,8.24,14.37,15.95,18.72,19.08,13.1,13.52,5.15,1.45,10.44
T2M,2002,3.52,6.52,7.58,9.66,13.04,17.21,17.8,18.12,14.2,11.23,8.25,5.31,11.06
T2M,2003,1.37,1.56,8.08,9.97,13.67,19.58,20.01,22.18,15.7,8.56,7.37,3.44,11.01
T2M,2004,3.35,3.89,5.78,10.14,13.03,17.65,18.7,19.69,16.82,11.77,6.22,1.94,10.76
T2M,2005,3.8,2.02,6.51,10.37,13.73,18.64,19.48,18.0,16.82,14.31,5.3,2.15,10.98
T2M,2006,1.1,1.94,4.77,9.6,14.07,17.83,22.96,16.84,18.28,13.82,8.18,3.98,11.16
T2M,2007,6.37,6.7,6.93,13.47,14.69,17.4,17.4,17.19,14.33,10.3,5.53,2.8,11.11
T2M,2008,4.72,4.65,6.12,8.67,15.48,16.6,18.39,18.1,13.44,10.2,6.47,1.49,10.38
T2M,2009,-0.54,2.34,6.01,11.58,14.37,16.48,18.91,20.05,15.79,10.99,8.68,2.15,10.61
T2M,2010,-1.01,2.02,5.68,9.81,12.06,17.41,20.41,17.67,14.62,10.33,5.71,-1.43,9.48
T2M,2011,2.72,4.79,7.33,13.12,14.9,17.05,17.07,18.42,17.08,12.3,8.29,5.9,11.61
T2M,2012,4.56,-0.08,8.41,8.23,14.48,16.23,17.67,19.5,14.78,11.2,6.04,4.69,10.52
T2M,2013,1.93,1.29,3.3,8.87,11.3,15.9,20.55,18.65,15.62,12.76,5.7,4.02,10.05
T2M,2014,5.15,5.58,7.9,11.28,12.94,16.6,19.13,16.54,16.44,12.94,8.21,3.33,11.37
T2M,2015,2.78,2.44,6.45,10.67,13.05,17.05,20.01,19.71,13.68,10.11,9.44,7.3,11.11
T2M,2016,3.71,4.68,5.35,8.63,13.68,16.65,18.79,19.16,17.53,9.89,6.12,2.56,10.58
T2M,2017,-0.25,5.37,9.0,9.29,15.0,19.27,19.43,18.74,14.56,12.83,6.51,4.19,11.19
T2M,2018,6.35,0.2,5.46,12.17,15.25,18.19,21.55,19.78,15.95,12.23,6.48,5.36,11.65
T2M,2019,2.21,5.05,8.37,10.23,12.51,18.39,20.68,19.69,16.05,12.22,6.57,5.26,11.48
T2M,2020,4.77,7.4,6.94,12.81,13.99,17.06,19.19,21.41,17.45,11.37,8.01,5.05,12.13
T2M,2021,2.64,4.71,6.82,7.69,11.87,18.63,18.76,18.07,17.32,11.32,5.68,5.25,10.76
T2M,2022,3.08,6.02,7.95,10.12,15.64,18.64,21.18,22.04,16.3,15.05,8.6,3.48,12.38
